criterion,max_depth,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std
gini,3,0.6643026004728132,0.6123542089509275,0.6643026004728132,0.6220709494097573,0.6166909557003143,0.016314129213051243
gini,5,0.8132387706855791,0.8219161609886468,0.8132387706855791,0.8138324140293559,0.818121960212807,0.02054118988026895
gini,7,0.8628841607565012,0.8672579555729865,0.8628841607565012,0.8632938936488509,0.8832914859621092,0.015525750288513404
gini,10,0.9101654846335697,0.9135521287979301,0.9101654846335697,0.9111356365590687,0.9158481554966377,0.02279167690594187
gini,None,0.91725768321513,0.920614523345879,0.91725768321513,0.9182457402801354,0.9217846294312855,0.014183582709120509
entropy,3,0.6359338061465721,0.6095728563968128,0.6359338061465721,0.5971505748591869,0.6155075237476516,0.016370971564107394
entropy,5,0.8368794326241135,0.855006146813128,0.8368794326241135,0.8356338807916318,0.827613997506716,0.01955053548182524
entropy,7,0.9361702127659575,0.9381121874173478,0.9361702127659575,0.9366733505496094,0.9176478850982388,0.010218470659852269
entropy,10,0.9361702127659575,0.9380024102866197,0.9361702127659575,0.9364199450315084,0.950222112970344,0.011524299535480838
entropy,None,0.9361702127659575,0.9380024102866197,0.9361702127659575,0.9364199450315084,0.9490386810176812,0.011051294108077637
log_loss,3,0.6359338061465721,0.6095728563968128,0.6359338061465721,0.5971505748591869,0.6155075237476516,0.016370971564107394
log_loss,5,0.8368794326241135,0.855006146813128,0.8368794326241135,0.8356338807916318,0.827613997506716,0.01955053548182524
log_loss,7,0.9361702127659575,0.9381121874173478,0.9361702127659575,0.9366733505496094,0.9176478850982388,0.010218470659852269
log_loss,10,0.9361702127659575,0.9380024102866197,0.9361702127659575,0.9364199450315084,0.950222112970344,0.011524299535480838
log_loss,None,0.9361702127659575,0.9380024102866197,0.9361702127659575,0.9364199450315084,0.9490386810176812,0.011051294108077637
