max_depth,accuracy_train,accuracy_test,f1_weighted_test,cv_mean,cv_std,n_leaves
1,0.2908767772511848,0.2907801418439716,0.14246313182483394,0.29087668779519954,0.002161520500558911,2
2,0.5539099526066351,0.5390070921985816,0.42337666655883804,0.5521394834337086,0.006634582293696322,4
3,0.648696682464455,0.6643026004728132,0.6220709494097573,0.6166909557003143,0.016314129213051243,8
4,0.7879146919431279,0.7754137115839244,0.7762565487565887,0.7707144487559918,0.021450714243657753,14
5,0.8507109004739336,0.8132387706855791,0.8138324140293559,0.818121960212807,0.02054118988026895,25
6,0.9146919431279621,0.8723404255319149,0.8725630840575728,0.8749916597896512,0.02135083698376304,40
7,0.9300947867298578,0.8628841607565012,0.8632938936488509,0.8832914859621092,0.015525750288513404,59
8,0.9851895734597157,0.9078014184397163,0.9085224188366025,0.9046055519463417,0.020529699807994694,79
10,0.9982227488151659,0.9101654846335697,0.9111356365590687,0.9158481554966377,0.02279167690594187,102
12,1.0,0.91725768321513,0.9182457402801354,0.920005969834776,0.0164203535921133,105
15,1.0,0.91725768321513,0.9182457402801354,0.9229715730514634,0.012925563975787098,105
20,1.0,0.91725768321513,0.9182457402801354,0.9217846294312855,0.014183582709120509,105
None,1.0,0.91725768321513,0.9182457402801354,0.9217846294312855,0.014183582709120509,105
