parametro,valor,accuracy_test,f1_weighted_test,cv_mean,cv_std
min_samples_split,2,0.91725768321513,0.9182457402801354,0.9217846294312855,0.014183582709120509
min_samples_split,5,0.9125295508274232,0.9132540403313054,0.9194142538584448,0.015352376625180544
min_samples_split,10,0.9030732860520094,0.9038382072641398,0.9200129931698067,0.01904210169574429
min_samples_split,20,0.9148936170212766,0.9156182667212822,0.9087475637806612,0.02612229149593846
min_samples_split,50,0.8817966903073287,0.8823541683534177,0.8767790985549487,0.017218513356120433
min_samples_split,100,0.8226950354609929,0.8227267300159478,0.8145786876898494,0.015771908647283353
min_samples_leaf,1,0.91725768321513,0.9182457402801354,0.9217846294312855,0.014183582709120509
min_samples_leaf,2,0.9196217494089834,0.920354659606079,0.9170421224518461,0.02084494423523983
min_samples_leaf,5,0.9030732860520094,0.9038996018595891,0.9105297350446859,0.022038232821284486
min_samples_leaf,10,0.9125295508274232,0.9134772673154876,0.903427387494952,0.014881812819302323
min_samples_leaf,20,0.8865248226950354,0.8863730382675749,0.8750021947921971,0.022782991407103614
min_samples_leaf,50,0.8132387706855791,0.810195998221728,0.7938300001755833,0.015839089136163637
