k,accuracy_train,accuracy_test,f1_weighted_test,cv_mean,cv_std
1,1.0,0.6269230769230769,0.6256855129431531,0.6040007033390095,0.010866778961897064
3,0.7854531460457956,0.553076923076923,0.549910748999651,0.5406968608869475,0.005294659309573119
5,0.702713103713681,0.5584615384615385,0.5487465705282001,0.5506988968682904,0.010167468582048155
7,0.6686549932653454,0.5438461538461539,0.5326856088180603,0.5501214185237284,0.015331936906349462
11,0.6344044641139118,0.5538461538461539,0.5392201480590028,0.5505075146220478,0.014967250780660468
15,0.617664036944391,0.5453846153846154,0.5239681184392092,0.5495472717850004,0.011281858698447257
21,0.6036174716182413,0.546923076923077,0.5235940069948788,0.5524292959206337,0.011362894814079125
31,0.5878391379642102,0.5507692307692308,0.5263756957380773,0.5541619160435329,0.012109357862623548
51,0.5759091783721377,0.5453846153846154,0.5198000552995176,0.5468523728437107,0.016003794960252622
71,0.565326149701751,0.5361538461538462,0.5093329800124592,0.5474326275264677,0.01792277850742458
101,0.5578218202809313,0.5276923076923077,0.49801436203991145,0.5426199378100244,0.015619860983448688
